timestamp,latitude,longitude,altitude_m,ground_speed_mps,vertical_speed_mps,roll_deg,pitch_deg,yaw_deg,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,satellite_count,battery_voltage_v,battery_current_a,battery_percent,flight_mode,wind_speed_mps,payload_kg,aircraft_model
2026-05-16T14:32:27Z,43.653812,-79.38274200000001,36.95,4.2,-0.12,1.4,2.0,98.5,0.1,0.2,9.8,0.02,0.03,0.04,14.0,5,15.04,30.0,86.92,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:28Z,43.653368,-79.383088,36.8,4.25,-0.12,0.8,2.15,99.0,0.1,0.2,9.8,0.02,0.03,0.04,14.0,5,14.49,30.0,84.42,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:29Z,43.653374,-79.383084,36.65,4.3,-0.12,1.0,2.3,99.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.48,8.2,84.34,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:30Z,43.65338,-79.38308,36.5,4.2,-0.12,1.2,1.7,100.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.47,8.4,84.26,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:31Z,43.653386,-79.383076,36.35,4.25,-0.12,1.4,1.85,100.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.46,8.6,84.18,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:32Z,43.653392,-79.383072,36.2,4.3,-0.12,0.8,2.0,101.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.45,8.0,84.1,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:33Z,43.653397999999996,-79.38306800000001,36.05,4.2,-0.12,1.0,2.15,101.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.44,8.2,84.02,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:34Z,43.653403999999995,-79.383064,35.9,4.25,-0.12,1.2,2.3,102.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.43,8.4,83.94,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:35Z,43.65341,-79.38306,35.75,4.3,-0.12,1.4,1.7,102.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.42,8.6,83.86,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:36Z,43.653416,-79.383056,35.6,4.2,-0.12,0.8,1.85,103.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.41,8.0,83.78,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:37Z,43.653422,-79.383052,35.45,4.25,-0.12,1.0,2.0,103.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.4,8.2,83.7,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:38Z,43.653428,-79.383048,35.3,4.3,-0.12,1.2,2.15,104.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.39,8.4,83.62,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:39Z,43.653434,-79.383044,35.15,4.2,-0.12,1.4,2.3,104.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,14.38,8.6,83.54,AUTO,9.0,0.8,sample-quad
